1,Heavensdoor,BYD,10+,10.8,"9,939,519",12.497595
2,Overwhelm,FTR,10,10.6,"9,953,192",12.36596
3,Grievous Lady,FTR,11,11.1,"9,842,654",12.31327
4,MIRINAE,FTR,10,10.4,"9,981,619",12.308095
5,#1f1e33,FTR,11,11.1,"9,836,402",12.28201
6,eden,FTR,10,10.5,"9,949,991",12.249955
7,Subsphere in Eclosion,ETR,10,10.6,"9,929,653",12.248265
8,INCARNATOR00,ETR,10,10.4,"9,968,063",12.240315
9,IMPACT,BYD,10,10.4,"9,958,203",12.191015
10,Fracture Ray,FTR,11,11.1,"9,817,368",12.18684
11,Wish Upon A snow,FTR,10,10.5,"9,936,290",12.18145
12,KYOREN ROMANCE,FTR,10+,10.7,"9,896,050",12.18025
13,Last Celebration,FTR,10,10.4,"9,953,939",12.169695
14,MVURBD,FTR,10,10.6,"9,911,182",12.15591
15,MARENYX,ETR,10+,10.8,"9,861,351",12.106755
16,Breach of Faith,FTR,10,10.3,"9,957,558",12.08779
17,REKKA RESONANCE,FTR,10+,10.7,"9,877,312",12.08656
18,Rain of Conflict in a Radiant Abyss,ETR,10,10.5,"9,916,960",12.0848
19,World Vanquisher,FTR,10+,10.7,"9,870,458",12.05229
20,Melty Rhapsody,ETR,10,10.4,"9,925,149",12.025745
21,Aegleseeker,FTR,11,11.2,"9,745,221",12.01740333
22,Vicious [ANTi] Heroism,BYD,11,11.2,"9,745,080",12.01693333
23,Viyella's Tears,FTR,10,10.3,"9,940,683",12.003415
24,Manic Jeer,FTR,10,10.6,"9,880,582",12.00291
25,UNKNOWN LEVELS,FTR,10,10.6,"9,879,175",11.995875
26,My Life is mine alone!,ETR,10,10.1,"9,977,735",11.988675
27,Axium Crisis,FTR,10,10.6,"9,877,578",11.98789
28,"Welcome, Queen of Fiction.",ETR,10+,10.9,"9,817,469",11.987345
29,Arcana Eden,FTR,10,10.5,"9,892,740",11.9637
30,Dantalion,FTR,10+,10.8,"9,831,892",11.95946
